product_id,product_name,brand,category_id,super_category_id,mrp,cost_price,pack_size,weight_grams,launch_date,is_active
SKU000001,Haldiram Dairy Single,Haldiram,CAT0020,CAT0001,684.47,471.85,Single,712,2020-12-11,1
SKU000002,Hawkins Cleaning 100g,Hawkins,CAT0059,CAT0003,690.6,420.69,100g,3827,2023-06-12,1
SKU000003,MTR Spices 1L,MTR,CAT0011,CAT0001,284.46,203.94,1L,4907,2024-11-29,1
SKU000004,LG Audio Pack of 2,LG,CAT0093,CAT0004,43209.97,28264.83,Pack of 2,4550,2023-10-01,1
SKU000005,Cello Bath Linen 250g,Cello,CAT0068,CAT0003,2896.7,1709.27,250g,3018,2025-07-07,1
SKU000006,Sony Large Appliances Pair,Sony,CAT0082,CAT0004,4874.14,2788.12,Pair,534,2020-11-20,1
SKU000007,Prestige Cleaning Pack of 6,Prestige,CAT0058,CAT0003,1951.26,1472.72,Pack of 6,3152,2021-01-22,1
SKU000008,LG Large Appliances 200ml,LG,CAT0080,CAT0004,20223.2,12322.99,200ml,4553,2018-12-13,1
SKU000009,Funskool Diapering 250g,Funskool,CAT0131,CAT0006,3471.15,2313.89,250g,1810,2020-12-01,1
SKU000010,Milton Bath Linen 250g,Milton,CAT0067,CAT0003,1341.77,758.95,250g,1271,2024-06-19,1
SKU000011,BritEat Dairy 200ml,BritEat,CAT0023,CAT0001,705.85,406.3,200ml,4237,2021-01-09,1
SKU000012,Amul Spices 250g,Amul,CAT0012,CAT0001,276.39,178.02,250g,3845,2024-02-25,1
SKU000013,Levis Ethnicwear 500g,Levis,CAT0105,CAT0005,2118.82,1193.14,500g,2670,2025-04-28,1
SKU000014,Dove Fragrances 1L,Dove,CAT0030,CAT0002,1115.97,772.73,1L,2803,2023-08-12,1
SKU000015,boAt Audio 200ml,boAt,CAT0094,CAT0004,37926.21,21790.04,200ml,3870,2021-04-10,1
SKU000016,Allen Solly Ethnicwear 1kg,Allen Solly,CAT0107,CAT0005,2217.33,1589.37,1kg,688,2024-06-23,1
SKU000017,MTR Spices 250g,MTR,CAT0011,CAT0001,259.17,197.52,250g,1959,2023-12-29,1
SKU000018,Haldiram Dairy Pack of 6,Haldiram,CAT0021,CAT0001,54.84,33.26,Pack of 6,4331,2020-07-07,1
SKU000019,TataGold Dairy 200ml,TataGold,CAT0022,CAT0001,645.5,484.36,200ml,1789,2025-05-16,1
SKU000020,WOW Skincare 1L,WOW,CAT0034,CAT0002,756.65,582.85,1L,3483,2023-09-28,1
SKU000021,Pigeon Bath Linen 1L,Pigeon,CAT0064,CAT0003,5142.3,3585.49,1L,2964,2023-07-24,1
SKU000022,Dove Wellness 500g,Dove,CAT0039,CAT0002,113.01,85.16,500g,4562,2024-12-27,1
SKU000023,Hawkins Bath Linen 500g,Hawkins,CAT0066,CAT0003,5050.17,3200.88,500g,4969,2023-06-25,1
SKU000024,WOW Fragrances Single,WOW,CAT0026,CAT0002,820.45,477.01,Single,3899,2018-10-14,1
SKU000025,Milton Bath Linen 100g,Milton,CAT0068,CAT0003,2531.89,1519.15,100g,2084,2018-10-24,1
SKU000026,OnePlus Wearables Pair,OnePlus,CAT0077,CAT0004,22486.23,14389.62,Pair,3969,2019-06-28,1
SKU000027,Haldiram Spices 1kg,Haldiram,CAT0012,CAT0001,253.62,191.81,1kg,1382,2022-08-23,1
SKU000028,Peter England Footwear 1L,Peter England,CAT0113,CAT0005,1442.55,1002.6,1L,1648,2021-03-16,1
SKU000029,Prestige Bath Linen 200ml,Prestige,CAT0067,CAT0003,2027.87,1415.63,200ml,3208,2020-06-12,1
SKU000030,Hot Wheels Diapering 200ml,Hot Wheels,CAT0131,CAT0006,157.92,120.78,200ml,644,2022-12-21,1
SKU000031,Biotique Wellness Pair,Biotique,CAT0043,CAT0002,1047.24,616.94,Pair,1968,2023-05-12,1
SKU000032,Mee Mee Baby Food Pack of 2,Mee Mee,CAT0127,CAT0006,568.49,327.98,Pack of 2,1523,2022-02-02,1
SKU000033,OnePlus Large Appliances 500g,OnePlus,CAT0083,CAT0004,18882.66,13452.83,500g,594,2023-06-16,1
SKU000034,Nivea Haircare Pair,Nivea,CAT0049,CAT0002,500.01,331.99,Pair,2533,2020-10-26,1
SKU000035,Aashirvaad Atta & Rice Pair,Aashirvaad,CAT0017,CAT0001,756.86,511.55,Pair,3994,2024-10-23,1
SKU000036,MTR Spices Single,MTR,CAT0011,CAT0001,48.4,36.56,Single,2394,2019-12-19,1
SKU000037,Peter England Footwear Pair,Peter England,CAT0114,CAT0005,2451.95,1367.75,Pair,4015,2024-01-05,1
SKU000038,Funskool Strollers Single,Funskool,CAT0133,CAT0006,390.54,253.14,Single,2770,2023-06-06,1
SKU000039,Fortune Dairy 1L,Fortune,CAT0022,CAT0001,704.99,542.19,1L,3432,2023-10-28,1
SKU000040,Amul Spices 1kg,Amul,CAT0012,CAT0001,698.25,477.4,1kg,911,2025-05-31,1
SKU000041,Samsung Large Appliances 250g,Samsung,CAT0080,CAT0004,67704.3,42788.87,250g,1388,2023-01-23,1
SKU000042,Mee Mee Baby Care 1L,Mee Mee,CAT0121,CAT0006,719.66,428.35,1L,4517,2023-11-16,1
SKU000043,Peter England Womens Fashion 1L,Peter England,CAT0101,CAT0005,3050.38,2030.05,1L,3066,2022-08-11,1
SKU000044,Mee Mee Baby Care Single,Mee Mee,CAT0123,CAT0006,2627.3,1840.94,Single,2305,2020-05-04,1
SKU000045,Amul Spices 100g,Amul,CAT0009,CAT0001,275.89,154.36,100g,3280,2023-10-27,1
SKU000046,Pampers Diapering 1kg,Pampers,CAT0129,CAT0006,206.88,124.59,1kg,4777,2023-10-28,1
SKU000047,LG Audio 1L,LG,CAT0091,CAT0004,41800.29,24427.25,1L,385,2022-03-19,0
SKU000048,boAt Large Appliances 1L,boAt,CAT0081,CAT0004,84396.44,60425.7,1L,4655,2022-03-04,1
SKU000049,Chicco Baby Food 1L,Chicco,CAT0125,CAT0006,2853.68,1999.3,1L,4928,2019-05-06,1
SKU000050,Samsung Large Appliances Single,Samsung,CAT0083,CAT0004,56874.02,35104.61,Single,3027,2024-07-08,1
SKU000051,Huggies Diapering Pair,Huggies,CAT0129,CAT0006,932.6,525.55,Pair,4768,2021-03-24,1
SKU000052,WOW Skincare 200ml,WOW,CAT0034,CAT0002,880.96,588.58,200ml,672,2021-07-27,1
SKU000053,FabIndia Womens Fashion 100g,FabIndia,CAT0100,CAT0005,1519.34,1061.98,100g,4164,2021-05-12,1
SKU000054,Milton Bath Linen Pair,Milton,CAT0066,CAT0003,4077.18,2279.41,Pair,1202,2023-01-16,1
SKU000055,Roadster Ethnicwear 500g,Roadster,CAT0106,CAT0005,4112.85,3123.97,500g,1192,2021-05-29,1
SKU000056,Voltas Large Appliances Pair,Voltas,CAT0081,CAT0004,49755.55,32138.28,Pair,721,2021-03-05,1
SKU000057,Peter England Ethnicwear 100g,Peter England,CAT0108,CAT0005,942.94,721.04,100g,2375,2019-11-07,1
SKU000058,Biotique Haircare 200ml,Biotique,CAT0049,CAT0002,368.12,226.31,200ml,3198,2022-04-06,1
SKU000059,Pampers Baby Care Pack of 6,Pampers,CAT0116,CAT0006,1083.91,764.63,Pack of 6,3288,2023-12-03,1
SKU000060,Lotus Wellness 1kg,Lotus,CAT0041,CAT0002,378.97,214.66,1kg,3542,2020-10-05,1
SKU000061,Sony Large Appliances 100g,Sony,CAT0082,CAT0004,2891.35,1751.25,100g,3849,2021-12-02,1
SKU000062,TataGold Dairy Pair,TataGold,CAT0021,CAT0001,240.51,179.79,Pair,3153,2025-03-13,1
SKU000063,Funskool Baby Food Pack of 2,Funskool,CAT0126,CAT0006,2529.14,1893.74,Pack of 2,1065,2022-10-16,1
