store_id,store_name,store_type,city,state,current_region_id,launch_date,store_size_sqft,manager_name,is_active_flag
STR00001,Urban Physical - Hyderabad,physical,Hyderabad,Telangana,HYD,2024-01-03,2500,Nilima Kashyap,1
STR00002,Bharat Dark Store - Kolkata,dark_store,Kolkata,West Bengal,KOL,2024-11-29,1500,Krish Tailor,1
STR00003,Daily Dark Store - Gandhinagar,dark_store,Gandhinagar,Gujarat,AHM,2021-07-16,4000,Vyanjana Bhakta,1
STR00004,Daily Physical - Salt Lake,physical,Salt Lake,West Bengal,KOL,2025-05-19,4000,Riya Das,1
STR00005,GreenLeaf Dark Store - Bengaluru,dark_store,Bengaluru,Karnataka,BLR,2021-06-12,1500,Rishi Kapadia,1
STR00006,Daily Online Fulfillment - Thane,online_fulfillment,Thane,Maharashtra,MUM,2020-02-11,1500,Utkarsh Sundaram,1
STR00007,GreenLeaf Dark Store - Thane,dark_store,Thane,Maharashtra,MUM,2020-12-18,1500,Deepa Salvi,1
STR00008,Daily Dark Store - Tambaram,dark_store,Tambaram,Tamil Nadu,CHN,2022-12-16,8000,Wakeeta Dada,1
STR00009,Urban Physical - Hinjewadi,physical,Hinjewadi,Maharashtra,PUN,2020-10-22,1500,Daksha Bava,1
STR00010,Daily Physical - Thane,physical,Thane,Maharashtra,MUM,2023-05-25,8000,Vrinda Guha,1
STR00011,Apna Physical - Faridabad,physical,Faridabad,Delhi,DEL,2021-12-12,4000,Oeshi Koshy,1
STR00012,Daily Dark Store - Chennai,dark_store,Chennai,Tamil Nadu,CHN,2022-02-11,8000,Girindra Mital,1
STR00013,Urban Dark Store - Tambaram,dark_store,Tambaram,Tamil Nadu,CHN,2021-04-17,8000,Tara Gade,1
STR00014,Bharat Dark Store - Pune,dark_store,Pune,Maharashtra,PUN,2022-11-08,15000,Vrishti Vig,1
STR00015,Metro Online Fulfillment - Noida,online_fulfillment,Noida,Delhi,DEL,2024-02-24,1500,Nicholas Krishnamurthy,1
STR00016,Urban Physical - Noida,physical,Noida,Delhi,DEL,2020-11-20,2500,Chatura Sachdev,1
STR00017,Daily Physical - Kolkata,physical,Kolkata,West Bengal,KOL,2025-02-06,2500,Rayaan Mital,1
STR00018,Urban Dark Store - Navi Mumbai,dark_store,Navi Mumbai,Maharashtra,MUM,2021-01-29,8000,Wriddhish Rajagopal,1
STR00019,Bharat Physical - Bengaluru,physical,Bengaluru,Karnataka,BLR,2021-05-03,4000,Matthew Balay,1
STR00020,Metro Physical - Secunderabad,physical,Secunderabad,Telangana,HYD,2020-01-26,4000,Mugdha Lall,1
STR00021,Urban Physical - Thane,physical,Thane,Maharashtra,MUM,2022-12-01,4000,Jonathan De,1
STR00022,Urban Dark Store - Chennai,dark_store,Chennai,Tamil Nadu,CHN,2025-03-20,4000,Keya Solanki,1
STR00023,QuickMart Physical - Noida,physical,Noida,Delhi,DEL,2021-03-03,8000,Hema Sandal,1
STR00024,QuickMart Physical - Mumbai,physical,Mumbai,Maharashtra,MUM,2022-04-24,4000,Tristan Solanki,1
STR00025,GreenLeaf Dark Store - Noida,dark_store,Noida,Delhi,DEL,2022-04-25,2500,Fitan Butala,1
STR00026,Urban Online Fulfillment - Mumbai,online_fulfillment,Mumbai,Maharashtra,MUM,2021-01-22,2500,Tanveer Kale,1
STR00027,Urban Physical - Gandhinagar,physical,Gandhinagar,Gujarat,AHM,2021-10-20,4000,Oviya Kumer,1
STR00028,QuickMart Physical - Secunderabad,physical,Secunderabad,Telangana,HYD,2021-08-14,2500,Hredhaan Dass,1
STR00029,Apna Online Fulfillment - Hinjewadi,online_fulfillment,Hinjewadi,Maharashtra,PUN,2020-11-18,8000,Amaira Bedi,1
STR00030,GreenLeaf Online Fulfillment - Kolkata,online_fulfillment,Kolkata,West Bengal,KOL,2023-03-05,2500,Anthony Sidhu,1
STR00031,Urban Online Fulfillment - New Delhi,online_fulfillment,New Delhi,Delhi,DEL,2024-03-07,8000,Ridhi Lal,1
STR00032,Urban Dark Store - Noida,dark_store,Noida,Delhi,DEL,2020-01-26,2500,Jason Dass,1
STR00033,GreenLeaf Physical - Bengaluru,physical,Bengaluru,Karnataka,BLR,2024-11-03,4000,Akshay Lall,1
STR00034,Daily Physical - Hinjewadi,physical,Hinjewadi,Maharashtra,PUN,2021-09-03,1500,Zarna Sachdeva,1
STR00035,Metro Dark Store - Howrah,dark_store,Howrah,West Bengal,KOL,2020-11-25,1500,Jalsa Doctor,1
STR00036,QuickMart Online Fulfillment - Electronic City,online_fulfillment,Electronic City,Karnataka,BLR,2020-07-03,4000,Leena Arora,1
STR00037,Urban Physical - Pune,physical,Pune,Maharashtra,PUN,2022-09-12,2500,Aditya Acharya,1
